8401	40	336040
7830	80	626400
9116	20	182320
3352	77	258104
2777	56	155512
4773	63	300699
3647	52	189644
9522	92	876024
6357	72	457704
1416	61	86376
163	25	4075
1372	81	111132
1566	41	64206
1297	11	14267
9989	22	219758
5129	84	430836
6126	30	183780
6375	53	337875
4935	98	483630
2925	78	228150
5267	77	405559
4002	90	360180
2833	36	101988
8077	92	743084
697	95	66215
5259	9	47331
1922	67	128774
8902	35	311570
641	3	1923
4577	7	32039
2382	98	233436
9022	86	775892
2666	54	143964
3752	77	288904
5125	67	343375
5316	4	21264
4376	94	411344
9308	73	679484
2842	74	210308
6399	36	230364
6878	17	116926
4401	89	391689
8292	34	281928
2289	90	206010
3503	69	241707
9564	59	564276
6573	86	565278
4395	93	408735
3984	82	326688
6842	92	629464
4824	22	106128
9502	93	883686
1476	89	131364
6410	44	282040
6195	29	179655
7860	31	243660
4470	23	102810
1875	28	52500
5564	42	233688
1696	91	154336
1031	13	13403
4954	77	381458
9847	94	925618
6844	39	266916
7497	37	277389
2941	24	70584
5844	25	146100
1523	74	112702
1254	80	100320
1641	75	123075
745	96	71520
525	53	27825
1762	25	44050
7977	74	590298
6565	97	636805
6394	76	485944
934	14	13076
5202	8	41616
699	21	14679
4614	82	378348
5733	76	435708
519	16	8304
9999	21	209979
8899	13	115687
9977	6	59862
8705	8	69640
41	93	3813
5938	19	112822
1631	40	65240
9130	82	748660
3590	56	201040
5794	46	266524
6873	10	68730
5308	76	403408
3042	100	304200
5769	88	507672
7478	63	471114
354	75	26550
8332	93	774876
8732	84	733488
9794	75	734550
9033	99	894267
6668	50	333400
1639	84	137676
8889	8	71112
6497	25	162425
6294	23	144762
7006	32	224192
3287	24	78888
741	64	47424
2236	66	147576
5106	98	500388
2800	55	154000
7192	12	86304
4714	60	282840
9443	46	434378
3363	85	285855
4345	1	4345
3449	60	206940
8332	24	199968
6754	49	330946
4819	31	149389
7120	19	135280
6218	5	31090
4139	70	289730
6739	64	431296
3471	19	65949
6091	63	383733
7307	33	241131
7404	21	155484
9209	69	635421
6531	26	169806
5324	9	47916
2604	88	229152
6861	10	68610
1112	37	41144
5766	60	345960
6665	29	193285
7757	29	224953
3296	19	62624
9843	1	9843
8273	34	281282
1882	44	82808
9586	92	881912
7648	70	535360
1211	69	83559
3838	78	299364
9430	92	867560
